name,type,district,city,address,phone,website,mapsUrl
Bệnh viện Đa khoa khu vực Ngã Bảy,public,,,,,,"https://www.google.com/maps/search/?api=1&query=9.8060165,105.8068969"
Bệnh viện Đa khoa khu vực Ngọc Hồi,public,,,,,,"https://www.google.com/maps/search/?api=1&query=14.6952507,107.6815549"
Bệnh viện Đa khoa khu vực phía Nam,public,,,,,,"https://www.google.com/maps/search/?api=1&query=11.1733969,107.5226119"
Bệnh viện Đa khoa khu vực Phú Thọ,public,,,,,,"https://www.google.com/maps/search/?api=1&query=21.3955165,105.2166212"
Bệnh viện Đa khoa khu vực Phù Yên,public,,,,,,"https://www.google.com/maps/search/?api=1&query=21.2587965,104.6443788"
Bệnh viện Đa khoa khu vực Quản Bạ,public,,,,,,"https://www.google.com/maps/search/?api=1&query=23.07111,104.9891456"
Bệnh viện Đa khoa khu vực Quang Bình,public,,,,,,"https://www.google.com/maps/search/?api=1&query=22.4080661,104.5902378"
Bệnh viện Đa khoa khu vực Quảng Nam,public,,,,,,"https://www.google.com/maps/search/?api=1&query=15.8909554,108.2461835"
Bệnh viện Đa khoa khu vực Quảng Ninh,public,,,,,,"https://www.google.com/maps/search/?api=1&query=17.365573,106.6751478"
Bệnh viện Đa khoa khu vực Quảng Yên,public,,,,,,"https://www.google.com/maps/search/?api=1&query=20.9387102,106.8316463"
Bệnh viện Đa khoa khu vực Quảng Yên (cơ sở 2),public,,,,,,"https://www.google.com/maps/search/?api=1&query=21.034621,106.7738613"
Bệnh viện Đa khoa khu vực Quỳnh Nhai,public,,,,,,"https://www.google.com/maps/search/?api=1&query=21.6379265,103.6373315"
Bệnh viện Đa khoa khu vực Si Ma Cai,public,,,,,,"https://www.google.com/maps/search/?api=1&query=22.6905821,104.2708918"
Bệnh viện Đa khoa khu vực Sốp Cộp,public,,,,,,"https://www.google.com/maps/search/?api=1&query=20.9418011,103.6072992"
Bệnh viện Đa khoa khu vực Tân Châu,public,,,,,,"https://www.google.com/maps/search/?api=1&query=10.7894333,105.2311929"
Bệnh viện Đa khoa khu vực Tây Bắc Nghệ An,public,,,,,,"https://www.google.com/maps/search/?api=1&query=19.311367,105.4165714"
Bệnh viện Đa khoa khu vực Tây Nam Nghệ An,public,,,,,,"https://www.google.com/maps/search/?api=1&query=19.0430535,104.8860185"
Bệnh viện Đa khoa khu vực Tháp Mười,public,,,,,,"https://www.google.com/maps/search/?api=1&query=10.5205501,105.8413855"
Bệnh viện Đa khoa khu vực Thủ Đức,public,,,,,,"https://www.google.com/maps/search/?api=1&query=10.8622334,106.7805429"
Bệnh viện Đa khoa khu vực Thuận Châu,public,,,,,,"https://www.google.com/maps/search/?api=1&query=21.4309573,103.6946851"
Bệnh viện Đa khoa khu vực Tiên Yên,public,,,,,,"https://www.google.com/maps/search/?api=1&query=21.3328759,107.4020488"
Bệnh viện Đa khoa khu vực Tiên Yên (cơ sở 2),public,,,,,,"https://www.google.com/maps/search/?api=1&query=21.2716714,107.2885923"
Bệnh viện Đa khoa khu vực Tiên Yên (cơ sở 3),public,,,,,,"https://www.google.com/maps/search/?api=1&query=21.529363,107.4003629"
